Date,^DJI,^GSPC,^IXIC,^NYA,^RUT,^VIX
12/20/1990,2629.459961,330.1199951,372.2999878,1906.660034,130.7200012,23.12999916
12/21/1990,2633.659912,331.75,373.6000061,1912.469971,130.8500061,22.65999985
12/24/1990,2621.290039,329.8999939,372.3999939,1903.380005,130.4600067,24.03000069
12/26/1990,2637.129883,330.8500061,372.3999939,1909.619995,130.8300018,24.18000031
12/27/1990,2625.5,328.2900085,371.1000061,1897.77002,130.6199951,24.80999947
12/28/1990,2629.209961,328.7200012,371.2000122,1899.569946,130.4600067,25.04999924
12/31/1990,2633.659912,330.2200012,373.7999878,1908.449951,132.1999969,26.37999916
1/2/1991,2610.639893,326.4500122,372.2000122,1888.680054,131.6499939,26.62000084
1/3/1991,2573.51001,321.9100037,367.5,1865.310059,130.3500061,27.93000031
1/4/1991,2566.090088,321,367.2000122,1860.449951,130.2100067,27.19000053
1/7/1991,2522.77002,315.4400024,360.2000122,1830,128.1999969,28.95000076
1/8/1991,2509.409912,314.8999939,359,1825.130005,127.5699997,30.37999916
1/9/1991,2470.300049,311.4899902,357.5,1807.790039,126.7099991,33.29999924
1/10/1991,2498.76001,314.5299988,361.8999939,1823.22998,127.5599976,31.32999992
1/11/1991,2501.48999,315.230011,361.7999878,1826.930054,127.6200027,32.63000107
1/14/1991,2483.909912,312.4899902,355.7999878,1810.329956,125.3899994,36.20000076
1/15/1991,2490.590088,313.730011,357.2999878,1815.51001,125.25,36.15999985
1/16/1991,2508.909912,316.1700134,365.2000122,1829.26001,126.8000031,33.20000076
1/17/1991,2623.51001,327.9700012,375.7999878,1892.48999,130.25,27.45000076
1/18/1991,2646.780029,332.230011,377,1912.469971,129.8399963,25.38999939
1/21/1991,2629.209961,331.0599976,379.7000122,1907.290039,130.3399963,24.32999992
1/22/1991,2603.219971,328.3099976,379,1894.810059,131.0800018,24.89999962
1/23/1991,2619.060059,330.2099915,383.8999939,1904.959961,132.6300049,23.92000008
1/24/1991,2643.070068,334.7799988,391.2999878,1931.189941,135.0399933,22.86000061
1/25/1991,2659.409912,336.0700073,394.2999878,1939.01001,136.4900055,22.20000076
1/28/1991,2654.459961,336.0299988,396.7999878,1939.959961,137.8000031,23.04999924
1/29/1991,2662.620117,335.8399963,400.6000061,1938.900024,139.2200012,23.17000008
1/30/1991,2713.120117,340.9100037,408.5,1966.930054,142.0299988,21.37000084
1/31/1991,2736.389893,343.9299927,414.2000122,1983.530029,144.1699982,20.90999985
2/1/1991,2730.689941,343.0499878,417.7000122,1981.52002,145.5,21.04000092
2/4/1991,2772.280029,348.3399963,424.7999878,2011.969971,148.1600037,21.86000061
2/5/1991,2788.370117,351.2600098,432.2000122,2028.98999,150.1999969,21.45999908
2/6/1991,2830.939941,358.0700073,439.2000122,2065.899902,152.2899933,22.68000031
2/7/1991,2810.639893,356.519989,435,2059.129883,151.0800018,23.60000038
2/8/1991,2830.689941,359.3500061,436.7999878,2073.51001,151.7200012,23.37999916
2/11/1991,2902.22998,368.5799866,444.1000061,2123.72998,154.1699982,22.55999947
2/12/1991,2874.75,365.5,444,2108.719971,154.2100067,22.26000023
2/13/1991,2909.159912,369.019989,448,2127.219971,155.8800049,20.86000061
2/14/1991,2877.22998,364.2200012,444.2999878,2103.330078,155.3200073,21.47999954
2/15/1991,2934.649902,369.0599976,448.7000122,2128.389893,156.8300018,19.56999969
2/19/1991,2932.179932,369.3900146,450.2999878,2129.550049,156.7599945,19.84000015
2/20/1991,2899.01001,365.1400146,446,2106.919922,155.4400024,22.26000023
2/21/1991,2891.830078,364.9700012,446.3999939,2107.030029,156.3600006,20.78000069
2/22/1991,2889.360107,365.6499939,449,2111.050049,157.4100037,21.01000023
2/25/1991,2887.870117,367.2600098,451.1000061,2120.030029,158.4400024,22.86000061
2/26/1991,2864.600098,362.8099976,447.7000122,2095.919922,157.1300049,20.37999916
2/27/1991,2889.110107,367.7399902,450.7999878,2122.570068,158.4400024,21.26000023
2/28/1991,2882.179932,367.0700073,453.1000061,2122.149902,160,21.22999954
3/1/1991,2909.899902,370.4700012,456.7000122,2140.02002,161.2599945,21.22999954
3/4/1991,2914.110107,369.3299866,461.1000061,2136.73999,163.4900055,20.86000061
3/5/1991,2972.52002,376.7200012,473.1000061,2175.439941,166.7799988,20.45000076
3/6/1991,2973.27002,376.1700134,473.7999878,2173.219971,167.0299988,20.54999924
3/7/1991,2963.370117,375.9100037,475.7399902,2171.419922,167.6600037,21.04999924
3/8/1991,2955.199951,374.9500122,475.1099854,2167.090088,167.9600067,20.80999947
3/11/1991,2939.360107,372.9599915,467.1499939,2157.459961,166.4499969,20.87999916
3/12/1991,2922.52002,370.0299988,461.3999939,2141.070068,164.8699951,18.81999969
3/13/1991,2955.199951,374.5700073,468.1799927,2163.389893,166.0800018,16.09000015
3/14/1991,2952.22998,373.5,467.7900085,2160,166.2299957,14.93999958
3/15/1991,2948.27002,373.5899963,466.2900085,2157.889893,165.3600006,14.89999962
3/18/1991,2929.949951,372.1099854,466.269989,2149.75,165.3699951,15.78999996
3/19/1991,2867.820068,366.5899963,462.8099976,2121.719971,164.0899963,16.11000061
3/20/1991,2872.030029,367.9200134,466.0899963,2128.600098,165.5099945,16.04000092
3/21/1991,2855.449951,366.5799866,464.6000061,2123.100098,165.7799988,16.86000061
3/22/1991,2858.909912,367.480011,464.1499939,2126.689941,165.8000031,16.48999977
3/25/1991,2865.840088,369.8299866,468.4899902,2140.02002,166.7200012,16.76000023
3/26/1991,2914.850098,376.2999878,478.5700073,2173.429932,168.6399994,16.30999947
3/27/1991,2917.570068,375.3500061,482.3699951,2171,169.8200073,16.54999924
3/28/1991,2913.860107,375.2200012,482.2999878,2170.790039,171.0099945,16.87999916
4/1/1991,2881.189941,371.2999878,480.8599854,2150.800049,170.3099976,17.42000008
4/2/1991,2945.050049,379.5,491.2000122,2193.199951,172.6100006,17.39999962
4/3/1991,2926.72998,378.9400024,495.0499878,2192.98999,173.75,17.61000061
4/4/1991,2924.5,379.769989,497.5700073,2196.47998,174.5200043,18.01000023
4/5/1991,2896.780029,375.3599854,495.7900085,2174.590088,173.8899994,17.62999916
4/8/1991,2918.560059,378.6600037,495.6499939,2190.560059,174.0299988,17.40999985
4/9/1991,2873.02002,373.5599976,492.4599915,2164.870117,173.1199951,20.12000084
4/10/1991,2874.5,373.1499939,490.7600098,2161.47998,173.1300049,19.72999954
4/11/1991,2905.449951,377.6300049,499.3099976,2184.959961,174.7899933,17.23999977
4/12/1991,2920.790039,380.3999939,501.6199951,2200.179932,175.7799988,18.45000076
4/15/1991,2933.169922,381.1900024,500.8399963,2205.570068,175.7400055,16.5
4/16/1991,2986.879883,387.6199951,506.75,2238.560059,177.3099976,15.81999969
4/17/1991,3004.459961,390.4500122,511.3099976,2254.429932,178.7100067,15.47000027
4/18/1991,2999.26001,388.4599915,506.6199951,2244.379883,177.5800018,16.26000023
4/19/1991,2965.590088,384.2000122,501.1900024,2222.919922,176.4199982,15.68000031
